date,category,commodity,commodity_id,unit,price,usdprice,calories (Kcal),protein (g),carbs (g),fat (g),iron (mg),cluster,PCA1,PCA2
2011-01-15,vegetables and fruits,Onions (red),110,KG,3.0,0.52,40,1.1,9.0,0.1,0.2,1,-0.3703384918759919,-1.8680116325184184
2011-02-15,cereals and tubers,Pasta,112,KG,5.05,0.86,370,13.0,75.0,1.5,1.3,1,-1.0459792377474593,-0.9010860038182547
2011-02-15,cereals and tubers,Potatoes,83,KG,1.4,0.24,77,2.0,17.0,0.1,0.8,1,-0.6751712162143266,-1.5679686651612985
2011-02-15,cereals and tubers,Wheat flour,58,KG,4.16,0.71,364,10.0,76.0,1.0,1.2,1,-0.9755270835569867,-1.0898112220207739
2011-02-15,miscellaneous food,Sugar,97,KG,5.72,0.97,387,0.0,100.0,0.0,0.1,4,-0.4979042024673423,-1.9931770530725514
2011-02-15,oil and fats,Ghee (artificial),106,KG,10.84,1.84,884,0.0,0.0,100.0,0.0,0,3.7722526581370857,0.5416853118396234
2011-02-15,oil and fats,Ghee (natural),107,KG,36.5,6.21,883,0.0,0.0,99.8,0.0,0,4.081159715138783,1.3627790861125098
2011-02-15,oil and fats,Oil (maize),362,800 G,10.05,1.71,884,0.0,0.0,100.0,0.0,0,3.762942608787285,0.5172105829785953
2011-02-15,vegetables and fruits,Onions (white),111,KG,2.1,0.36,40,1.1,9.0,0.1,0.2,1,-0.38179701415266987,-1.8981343757319915
2011-02-15,vegetables and fruits,Tomatoes,114,KG,1.75,0.3,18,0.9,3.9,0.2,0.3,1,-0.38526737114957255,-1.8938653701084838
2011-03-15,cereals and tubers,Pasta,112,KG,4.06,0.69,370,13.0,75.0,1.5,1.3,1,-1.0581539176664296,-0.9330914184826761
2011-03-15,cereals and tubers,Rice,52,KG,3.63,0.61,360,7.0,80.0,0.6,0.8,1,-0.8767697066394332,-1.3352631552325174
2011-03-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,13.12,2.22,239,27.0,0.0,14.0,1.3,3,-0.6859108918686249,1.5468043450328457
2011-03-15,miscellaneous food,Sugar,97,KG,4.99,0.84,387,0.0,100.0,0.0,0.1,4,-0.5072142518171432,-2.0176517819335795
2011-03-15,oil and fats,Ghee (artificial),106,KG,11.12,1.88,884,0.0,0.0,100.0,0.0,0,3.775117288706255,0.5492159976430167
2011-03-15,pulses and nuts,"Beans (fava, dry)",385,KG,8.09,1.37,341,26.0,58.0,1.5,6.7,2,-2.574504511353628,2.5427919025378904
2011-03-15,vegetables and fruits,Onions (red),110,KG,2.9,0.49,40,1.1,9.0,0.1,0.2,1,-0.372486964802869,-1.8736596468709634
2011-03-15,vegetables and fruits,Tomatoes,114,KG,3.52,0.59,18,0.9,3.9,0.2,0.3,1,-0.3644987995230937,-1.8392678980338826
2011-04-15,cereals and tubers,Pasta,112,KG,4.05,0.68,370,13.0,75.0,1.5,1.3,1,-1.058870075308722,-0.9349740899335244
2011-04-15,cereals and tubers,Potatoes,83,KG,2.7,0.45,77,2.0,17.0,0.1,0.8,1,-0.6601319057261869,-1.528432564693484
2011-04-15,"meat, fish and eggs",Meat (beef),141,KG,53.3,8.94,250,26.0,0.0,15.0,2.6,3,-0.33665333868440955,3.021402457877243
2011-04-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,13.05,2.19,239,27.0,0.0,14.0,1.3,3,-0.688059364795502,1.541156330680301
2011-04-15,miscellaneous food,Sugar,97,KG,5.04,0.85,387,0.0,100.0,0.0,0.1,4,-0.5064980941748508,-2.015769110482731
2011-04-15,oil and fats,Ghee (artificial),106,KG,11.9,2.0,884,0.0,0.0,100.0,0.0,0,3.7837111804137633,0.5718080550531965
2011-04-15,oil and fats,Ghee (natural),107,KG,36.62,6.14,883,0.0,0.0,99.8,0.0,0,4.076146611642736,1.3496003859565715
2011-04-15,oil and fats,Oil (maize),362,800 G,11.17,1.87,884,0.0,0.0,100.0,0.0,0,3.774401131063963,0.5473333261921685
2011-04-15,pulses and nuts,Lentils,108,KG,10.48,1.76,353,25.0,60.0,1.1,7.5,2,-2.6377132234908953,2.7191110966945287
2011-04-15,vegetables and fruits,Garlic,105,KG,3.28,0.55,149,6.4,33.0,0.5,1.7,1,-0.7720565306662238,-1.372274248422923
2011-04-15,vegetables and fruits,Onions (red),110,KG,3.04,0.51,40,1.1,9.0,0.1,0.2,1,-0.37105464951828426,-1.8698943039692668
2011-04-15,vegetables and fruits,Onions (white),111,KG,2.17,0.36,40,1.1,9.0,0.1,0.2,1,-0.38179701415266987,-1.8981343757319915
2011-04-15,vegetables and fruits,Tomatoes,114,KG,4.98,0.84,18,0.9,3.9,0.2,0.3,1,-0.3465948584657844,-1.7922011117626748
2011-05-15,cereals and tubers,Pasta,112,KG,4.1,0.69,370,13.0,75.0,1.5,1.3,1,-1.0581539176664296,-0.9330914184826761
2011-05-15,cereals and tubers,Rice,52,KG,4.2,0.71,360,7.0,80.0,0.6,0.8,1,-0.8696081302165095,-1.316436440724034
2011-05-15,cereals and tubers,Wheat flour,58,KG,3.76,0.63,364,10.0,76.0,1.0,1.2,1,-0.9812563446953256,-1.1048725936275605
2011-05-15,"meat, fish and eggs",Meat (beef),141,KG,54.64,9.21,250,26.0,0.0,15.0,2.6,3,-0.3173170823425154,3.072234587050148
2011-05-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,13.22,2.23,239,27.0,0.0,14.0,1.3,3,-0.6851947342263325,1.5486870164836941
2011-05-15,miscellaneous food,Sugar,97,KG,5.06,0.85,387,0.0,100.0,0.0,0.1,4,-0.5064980941748508,-2.015769110482731
2011-05-15,oil and fats,Ghee (artificial),106,KG,12.16,2.05,884,0.0,0.0,100.0,0.0,0,3.7872919686252255,0.5812214123074381
2011-05-15,oil and fats,Ghee (natural),107,KG,37.21,6.27,883,0.0,0.0,99.8,0.0,0,4.085456660992537,1.3740751148175996
2011-05-15,oil and fats,Oil (maize),362,800 G,11.49,1.94,884,0.0,0.0,100.0,0.0,0,3.7794142345600092,0.5605120263481066
2011-05-15,pulses and nuts,"Beans (fava, dry)",385,KG,8.02,1.35,341,26.0,58.0,1.5,6.7,2,-2.5759368266382126,2.5390265596361936
2011-05-15,pulses and nuts,Lentils,108,KG,10.54,1.78,353,25.0,60.0,1.1,7.5,2,-2.636280908206311,2.722876439596225
2011-05-15,vegetables and fruits,Garlic,105,KG,3.85,0.65,149,6.4,33.0,0.5,1.7,1,-0.7648949542433001,-1.3534475339144396
2011-05-15,vegetables and fruits,Onions (red),110,KG,2.35,0.4,40,1.1,9.0,0.1,0.2,1,-0.37893238358350034,-1.8906036899285983
2011-05-15,vegetables and fruits,Onions (white),111,KG,1.89,0.32,40,1.1,9.0,0.1,0.2,1,-0.3846616447218394,-1.9056650615353847
2011-05-15,vegetables and fruits,Tomatoes,114,KG,3.77,0.64,18,0.9,3.9,0.2,0.3,1,-0.3609180113116318,-1.8298545407796412
2011-06-15,cereals and tubers,Potatoes,83,KG,2.09,0.35,77,2.0,17.0,0.1,0.8,1,-0.6672934821491106,-1.547259279201967
2011-06-15,cereals and tubers,Rice,52,KG,4.39,0.74,360,7.0,80.0,0.6,0.8,1,-0.8674596572896324,-1.310788426371489
2011-06-15,cereals and tubers,Wheat flour,58,KG,3.75,0.63,364,10.0,76.0,1.0,1.2,1,-0.9812563446953256,-1.1048725936275605
2011-06-15,"meat, fish and eggs",Meat (beef),141,KG,53.88,9.07,250,26.0,0.0,15.0,2.6,3,-0.3273432893346087,3.0458771867382715
2011-06-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,12.89,2.17,239,27.0,0.0,14.0,1.3,3,-0.6894916800800868,1.5373909877786043
2011-06-15,oil and fats,Ghee (artificial),106,KG,12.14,2.04,884,0.0,0.0,100.0,0.0,0,3.786575810982933,0.5793387408565898
2011-06-15,oil and fats,Oil (maize),362,800 G,11.6,1.95,884,0.0,0.0,100.0,0.0,0,3.7801303922023015,0.5623946977989549
2011-06-15,pulses and nuts,Lentils,108,KG,10.73,1.81,353,25.0,60.0,1.1,7.5,2,-2.6341324352794335,2.7285244539487703
2011-06-15,vegetables and fruits,Garlic,105,KG,5.83,0.98,149,6.4,33.0,0.5,1.7,1,-0.7412617520476519,-1.2913193760364452
2011-06-15,vegetables and fruits,Onions (red),110,KG,1.68,0.28,40,1.1,9.0,0.1,0.2,1,-0.3875262752910088,-1.913195747338778
2011-06-15,vegetables and fruits,Onions (white),111,KG,1.62,0.27,40,1.1,9.0,0.1,0.2,1,-0.3882424329333012,-1.9150784187896264
2011-06-15,vegetables and fruits,Tomatoes,114,KG,2.55,0.43,18,0.9,3.9,0.2,0.3,1,-0.3759573217997717,-1.8693906412474557
2011-07-15,cereals and tubers,Pasta,112,KG,4.14,0.7,370,13.0,75.0,1.5,1.3,1,-1.0574377600241371,-0.9312087470318278
2011-07-15,cereals and tubers,Potatoes,83,KG,2.37,0.4,77,2.0,17.0,0.1,0.8,1,-0.6637126939376486,-1.5378459219477254
2011-07-15,cereals and tubers,Rice,52,KG,4.78,0.8,360,7.0,80.0,0.6,0.8,1,-0.8631627114358781,-1.2994923976663992
2011-07-15,cereals and tubers,Wheat flour,58,KG,3.81,0.64,364,10.0,76.0,1.0,1.2,1,-0.9805401870530333,-1.102989922176712
2011-07-15,"meat, fish and eggs",Meat (beef),141,KG,54.96,9.24,250,26.0,0.0,15.0,2.6,3,-0.31516860941563835,3.0778826014026928
2011-07-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,13.28,2.23,239,27.0,0.0,14.0,1.3,3,-0.6851947342263325,1.5486870164836941
2011-07-15,miscellaneous food,Sugar,97,KG,5.02,0.84,387,0.0,100.0,0.0,0.1,4,-0.5072142518171432,-2.0176517819335795
2011-07-15,oil and fats,Ghee (artificial),106,KG,12.16,2.04,884,0.0,0.0,100.0,0.0,0,3.786575810982933,0.5793387408565898
2011-07-15,oil and fats,Ghee (natural),107,KG,38.0,6.39,883,0.0,0.0,99.8,0.0,0,4.094050552700046,1.3966671722277795
2011-07-15,oil and fats,Oil (maize),362,800 G,11.59,1.95,884,0.0,0.0,100.0,0.0,0,3.7801303922023015,0.5623946977989549
2011-07-15,pulses and nuts,Lentils,108,KG,10.62,1.78,353,25.0,60.0,1.1,7.5,2,-2.636280908206311,2.722876439596225
2011-07-15,vegetables and fruits,Garlic,105,KG,7.54,1.27,149,6.4,33.0,0.5,1.7,1,-0.720493180421173,-1.236721903961844
2011-07-15,vegetables and fruits,Onions (red),110,KG,1.62,0.27,40,1.1,9.0,0.1,0.2,1,-0.3882424329333012,-1.9150784187896264
2011-07-15,vegetables and fruits,Onions (white),111,KG,1.75,0.29,40,1.1,9.0,0.1,0.2,1,-0.3868101176487164,-1.9113130758879295
2011-07-15,vegetables and fruits,Tomatoes,114,KG,2.07,0.35,18,0.9,3.9,0.2,0.3,1,-0.38168658293811064,-1.8844520128542421
2011-08-15,cereals and tubers,Pasta,112,KG,4.16,0.7,370,13.0,75.0,1.5,1.3,1,-1.0574377600241371,-0.9312087470318278
2011-08-15,cereals and tubers,Potatoes,83,KG,2.85,0.48,77,2.0,17.0,0.1,0.8,1,-0.6579834327993097,-1.522784550340939
2011-08-15,cereals and tubers,Rice,52,KG,5.32,0.89,360,7.0,80.0,0.6,0.8,1,-0.8567172926552468,-1.2825483546087644
2011-08-15,cereals and tubers,Wheat flour,58,KG,4.4,0.74,364,10.0,76.0,1.0,1.2,1,-0.9733786106301096,-1.084163207668229
2011-08-15,"meat, fish and eggs",Meat (beef),141,KG,55.1,9.23,250,26.0,0.0,15.0,2.6,3,-0.3158847670579307,3.0759999299518443
2011-08-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,13.81,2.31,239,27.0,0.0,14.0,1.3,3,-0.6794654730879935,1.5637483880904806
2011-08-15,miscellaneous food,Sugar,97,KG,5.45,0.91,387,0.0,100.0,0.0,0.1,4,-0.5022011483210965,-2.004473081777641
2011-08-15,oil and fats,Ghee (artificial),106,KG,12.27,2.06,884,0.0,0.0,100.0,0.0,0,3.788008126267518,0.5831040837582865
2011-08-15,oil and fats,Ghee (natural),107,KG,39.33,6.59,883,0.0,0.0,99.8,0.0,0,4.108373705545893,1.4343206012447458
2011-08-15,oil and fats,Oil (maize),362,800 G,11.58,1.94,884,0.0,0.0,100.0,0.0,0,3.7794142345600092,0.5605120263481066
2011-08-15,vegetables and fruits,Garlic,105,KG,8.58,1.44,149,6.4,33.0,0.5,1.7,1,-0.7083185005022028,-1.2047164892974227
2011-08-15,vegetables and fruits,Onions (red),110,KG,1.9,0.32,40,1.1,9.0,0.1,0.2,1,-0.3846616447218394,-1.9056650615353847
2011-08-15,vegetables and fruits,Onions (white),111,KG,1.95,0.33,40,1.1,9.0,0.1,0.2,1,-0.383945487079547,-1.9037823900845363
2011-08-15,vegetables and fruits,Tomatoes,114,KG,2.19,0.37,18,0.9,3.9,0.2,0.3,1,-0.3802542676535259,-1.8806866699525457
2011-09-15,cereals and tubers,Pasta,112,KG,4.4,0.74,370,13.0,75.0,1.5,1.3,1,-1.0545731294549676,-0.9236780612284344
2011-09-15,cereals and tubers,Potatoes,83,KG,3.3,0.55,77,2.0,17.0,0.1,0.8,1,-0.6529703293032632,-1.509605850185001
2011-09-15,cereals and tubers,Rice,52,KG,5.5,0.92,360,7.0,80.0,0.6,0.8,1,-0.8545688197283696,-1.2769003402562196
2011-09-15,"meat, fish and eggs",Meat (beef),141,KG,57.2,9.61,250,26.0,0.0,15.0,2.6,3,-0.2886707766508207,3.14754144508408
2011-09-15,miscellaneous food,Sugar,97,KG,6.1,1.03,387,0.0,100.0,0.0,0.1,4,-0.493607256613588,-1.9818810243674614
2011-09-15,oil and fats,Ghee (natural),107,KG,40.9,6.87,883,0.0,0.0,99.8,0.0,0,4.128426119530079,1.4870354018684988
2011-09-15,oil and fats,Oil (maize),362,800 G,11.5,1.93,884,0.0,0.0,100.0,0.0,0,3.778698076917717,0.5586293548972583
