date,category,commodity,commodity_id,unit,price,usdprice
2011-06-15,"meat, fish and eggs",Meat (beef),141,KG,53.88,9.07
2011-06-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,12.89,2.17
2011-06-15,oil and fats,Ghee (artificial),106,KG,12.14,2.04
2011-06-15,oil and fats,Oil (maize),362,800 G,11.6,1.95
2011-06-15,pulses and nuts,Lentils,108,KG,10.73,1.81
2011-06-15,vegetables and fruits,Garlic,105,KG,5.83,0.98
2011-06-15,vegetables and fruits,Onions (red),110,KG,1.68,0.28
2011-06-15,vegetables and fruits,Onions (white),111,KG,1.62,0.27
2011-06-15,vegetables and fruits,Tomatoes,114,KG,2.55,0.43
2011-07-15,cereals and tubers,Pasta,112,KG,4.14,0.7
2011-07-15,cereals and tubers,Potatoes,83,KG,2.37,0.4
2011-07-15,cereals and tubers,Rice,52,KG,4.78,0.8
2011-07-15,cereals and tubers,Wheat flour,58,KG,3.81,0.64
2011-07-15,"meat, fish and eggs",Meat (beef),141,KG,54.96,9.24
2011-07-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,13.28,2.23
2011-07-15,miscellaneous food,Sugar,97,KG,5.02,0.84
2011-07-15,oil and fats,Ghee (artificial),106,KG,12.16,2.04
2011-07-15,oil and fats,Ghee (natural),107,KG,38,6.39
2011-07-15,oil and fats,Oil (maize),362,800 G,11.59,1.95
2011-07-15,pulses and nuts,Lentils,108,KG,10.62,1.78
2011-07-15,vegetables and fruits,Garlic,105,KG,7.54,1.27
2011-07-15,vegetables and fruits,Onions (red),110,KG,1.62,0.27
2011-07-15,vegetables and fruits,Onions (white),111,KG,1.75,0.29
2011-07-15,vegetables and fruits,Tomatoes,114,KG,2.07,0.35
2011-08-15,cereals and tubers,Pasta,112,KG,4.16,0.7
2011-08-15,cereals and tubers,Potatoes,83,KG,2.85,0.48
2011-08-15,cereals and tubers,Rice,52,KG,5.32,0.89
2011-08-15,cereals and tubers,Wheat flour,58,KG,4.4,0.74
2011-08-15,"meat, fish and eggs",Meat (beef),141,KG,55.1,9.23
2011-08-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,13.81,2.31
2011-08-15,miscellaneous food,Sugar,97,KG,5.45,0.91
2011-08-15,oil and fats,Ghee (artificial),106,KG,12.27,2.06
2011-08-15,oil and fats,Ghee (natural),107,KG,39.33,6.59
2011-08-15,oil and fats,Oil (maize),362,800 G,11.58,1.94
2011-08-15,vegetables and fruits,Garlic,105,KG,8.58,1.44
2011-08-15,vegetables and fruits,Onions (red),110,KG,1.9,0.32
2011-08-15,vegetables and fruits,Onions (white),111,KG,1.95,0.33
2011-08-15,vegetables and fruits,Tomatoes,114,KG,2.19,0.37
2011-09-15,cereals and tubers,Pasta,112,KG,4.4,0.74
2011-09-15,cereals and tubers,Potatoes,83,KG,3.3,0.55
2011-09-15,cereals and tubers,Rice,52,KG,5.5,0.92
2011-09-15,"meat, fish and eggs",Meat (beef),141,KG,57.2,9.61
2011-09-15,miscellaneous food,Sugar,97,KG,6.1,1.03
2011-09-15,oil and fats,Ghee (natural),107,KG,40.9,6.87
2011-09-15,oil and fats,Oil (maize),362,800 G,11.5,1.93
2011-09-15,pulses and nuts,Lentils,108,KG,9.9,1.66
2011-09-15,vegetables and fruits,Garlic,105,KG,9.4,1.58
2011-09-15,vegetables and fruits,Onions (red),110,KG,2.4,0.4
2011-09-15,vegetables and fruits,Tomatoes,114,KG,3,0.5
2011-10-15,cereals and tubers,Pasta,112,KG,4.6,0.77
