date,category,commodity,commodity_id,unit,price,usdprice,calories (Kcal),protein (g),carbs (g),fat (g),iron (mg)
2011-09-15,miscellaneous food,Sugar,97,KG,6.1,1.03,387,0.0,100.0,0.0,0.1
2011-09-15,oil and fats,Ghee (natural),107,KG,40.9,6.87,883,0.0,0.0,99.8,0.0
2011-09-15,oil and fats,Oil (maize),362,800 G,11.5,1.93,884,0.0,0.0,100.0,0.0
2011-09-15,pulses and nuts,Lentils,108,KG,9.9,1.66,353,25.0,60.0,1.1,7.5
2011-09-15,vegetables and fruits,Garlic,105,KG,9.4,1.58,149,6.4,33.0,0.5,1.7
2011-09-15,vegetables and fruits,Onions (red),110,KG,2.4,0.4,40,1.1,9.0,0.1,0.2
2011-09-15,vegetables and fruits,Tomatoes,114,KG,3.0,0.5,18,0.9,3.9,0.2,0.3
2011-10-15,cereals and tubers,Pasta,112,KG,4.6,0.77,370,13.0,75.0,1.5,1.3
2011-10-15,cereals and tubers,Potatoes,83,KG,3.4,0.57,77,2.0,17.0,0.1,0.8
2011-10-15,cereals and tubers,Rice,52,KG,5.0,0.84,360,7.0,80.0,0.6,0.8
2011-10-15,cereals and tubers,Wheat flour,58,KG,4.4,0.74,364,10.0,76.0,1.0,1.2
2011-10-15,"meat, fish and eggs",Meat (beef),141,KG,59.2,9.92,250,26.0,0.0,15.0,2.6
2011-10-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,14.0,2.35,239,27.0,0.0,14.0,1.3
2011-10-15,miscellaneous food,Sugar,97,KG,6.2,1.04,387,0.0,100.0,0.0,0.1
2011-10-15,oil and fats,Ghee (artificial),106,KG,12.3,2.06,884,0.0,0.0,100.0,0.0
2011-10-15,oil and fats,Ghee (natural),107,KG,41.2,6.9,883,0.0,0.0,99.8,0.0
2011-10-15,oil and fats,Oil (maize),362,800 G,11.6,1.94,884,0.0,0.0,100.0,0.0
2011-10-15,pulses and nuts,Lentils,108,KG,10.0,1.68,353,25.0,60.0,1.1,7.5
2011-10-15,vegetables and fruits,Garlic,105,KG,9.0,1.51,149,6.4,33.0,0.5,1.7
2011-10-15,vegetables and fruits,Onions (red),110,KG,2.8,0.47,40,1.1,9.0,0.1,0.2
2011-10-15,vegetables and fruits,Onions (white),111,KG,3.0,0.5,40,1.1,9.0,0.1,0.2
2011-10-15,vegetables and fruits,Tomatoes,114,KG,3.0,0.5,18,0.9,3.9,0.2,0.3
2011-11-15,cereals and tubers,Pasta,112,KG,4.8,0.8,370,13.0,75.0,1.5,1.3
2011-11-15,cereals and tubers,Potatoes,83,KG,3.2,0.54,77,2.0,17.0,0.1,0.8
2011-11-15,cereals and tubers,Rice,52,KG,4.7,0.79,360,7.0,80.0,0.6,0.8
2011-11-15,cereals and tubers,Wheat flour,58,KG,4.4,0.74,364,10.0,76.0,1.0,1.2
2011-11-15,"meat, fish and eggs",Meat (beef),141,KG,59.9,10.02,250,26.0,0.0,15.0,2.6
2011-11-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,14.0,2.34,239,27.0,0.0,14.0,1.3
2011-11-15,miscellaneous food,Sugar,97,KG,6.3,1.05,387,0.0,100.0,0.0,0.1
2011-11-15,oil and fats,Ghee (artificial),106,KG,12.3,2.06,884,0.0,0.0,100.0,0.0
2011-11-15,oil and fats,Oil (maize),362,800 G,11.7,1.96,884,0.0,0.0,100.0,0.0
2011-11-15,pulses and nuts,"Beans (fava, dry)",385,KG,8.1,1.35,341,26.0,58.0,1.5,6.7
2011-11-15,pulses and nuts,Lentils,108,KG,9.9,1.66,353,25.0,60.0,1.1,7.5
